municipio,provincia,bounding_box1_x,bounding_box1_y,bounding_box2_x,bounding_box2_y
Monroyo,Teruel,-0.115955002605915,40.83351516723633,0.039214998483715,40.72263336181646
Loscos,Teruel,-1.149248957633915,41.11715698242198,-0.989537000656014,41.00590896606445
Torre los Negros,Teruel,-1.128576993942261,40.878906250000114,-1.048511028289795,40.82122421264659
Torrecilla del Rebollar,Teruel,-1.124349951743966,40.96689987182623,-1.02654504776001,40.854854583740234
Cabra de Mora,Teruel,-0.844533026218414,40.35224533081055,-0.760435998439789,40.27566528320312
La Cuba,Teruel,-0.317510992288589,40.611064910888615,-0.292333006858769,40.56621170043957
Valdelinares,Teruel,-0.650516986846867,40.470161437988395,-0.544525980949402,40.327693939208984
Alfambra,Teruel,-1.13592803478241,40.627944946289006,-0.970542013645172,40.47349929809582
Longás,Zaragoza,-0.987206995487213,42.51208877563488,-0.877209007739964,42.43242645263683
Fuendetodos,Zaragoza,-0.988157987594604,41.40281677246099,-0.873758971691132,41.31489944458008
Pina de Ebro,Zaragoza,-0.565981984138489,41.62427902221679,-0.198220998048726,41.43045043945318
Pradilla de Ebro,Zaragoza,-1.212625026702881,41.89054489135742,-1.100535035133305,41.86289596557617
Torres de Berrellén,Zaragoza,-1.17214298248291,41.88749313354492,-1.005470037460327,41.74905776977545
Valmadrid,Zaragoza,-0.924854993820134,41.492736816406186,-0.825146973133087,41.39733886718761
Aguilón,Zaragoza,-1.086112976074219,41.32965469360357,-0.945551991462707,41.254291534423885
Calatorao,Zaragoza,-1.366402983665466,41.55321502685547,-1.217005968093872,41.494281768798885
Longares,Zaragoza,-1.205026984214726,41.43293762207037,-1.107488989830017,41.345092773437614
Motilla del Palancar,Cuenca,-1.969212055206299,39.60648345947271,-1.838610053062439,39.52668380737316
Santa María de los Llanos,Cuenca,-2.840641021728459,39.544555664062614,-2.783615112304574,39.41079330444335
El Pedregal,Guadalajara,-1.600890040397587,40.82349777221691,-1.53918194770813,40.750095367431754
Fuentelsaz,Guadalajara,-1.863455057144165,41.09529495239269,-1.762094974517765,41.015445709228516
Torrecuadrada de Molina,Guadalajara,-1.867118000984135,40.76935958862316,-1.770956039428597,40.70081329345703
Pioz,Guadalajara,-3.200445890426636,40.48295974731451,-3.137289047241097,40.43618392944336
Valdenuño Fernández,Guadalajara,-3.406199932098389,40.794799804687614,-3.329265117645207,40.72863006591808
Yebra,Guadalajara,-3.030744075775089,40.39299392700207,-2.888176918029785,40.29478836059582
Somolinos,Guadalajara,-3.097753047943115,41.28401565551758,-3.030177116393986,41.238216400146484
Labuerda,Huesca,0.085075996816158,42.4843482971192,0.142688006162643,42.43089294433599
Chalamera,Huesca,0.122400999069214,41.689510345458984,0.185959994792995,41.642379760742244
Osso de Cinca,Huesca,0.173107996582985,41.69511032104498,0.283778011798972,41.6330451965332
